,x,y,z,joint,pressure,th_values,d_values
3240,-21.916576175559264,0,62.257591946307635,4,4.4,0.4646066468808905,0.0
3241,-21.963561645275313,0,62.24091955197651,4,4.41,0.46554039803070746,0.0
3242,-22.01053058465267,0,62.22419783124861,4,4.42,0.4664741491805244,0.0
3243,-22.057482941953186,0,62.20742679781175,4,4.43,0.46740790033034135,0.0
3244,-22.104418665449458,0,62.19060646540797,4,4.44,0.46834165148015844,0.0
3245,-22.151337703424872,0,62.173736847833524,4,4.45,0.4692754026299754,0.0
3246,-22.19824000417368,0,62.1568179589389,4,4.46,0.4702091537797922,0.0
3247,-22.245125516001035,0,62.13984981262874,4,4.47,0.4711429049296092,0.0
3248,-22.29199418722308,0,62.12283242286188,4,4.48,0.4720766560794263,0.0
3249,-22.33884596616695,0,62.105765803651416,4,4.49,0.47301040722924326,0.0
3250,-22.385680801170896,0,62.08864996906452,4,4.5,0.47394415837906023,0.0
3251,-22.432498640584292,0,62.071484933222564,4,4.51,0.47487790952887715,0.0
3252,-22.479299432767718,0,62.054270710301125,4,4.5200000000000005,0.4758116606786941,0.0
3253,-22.52608312609299,0,62.03700731452989,4,4.53,0.4767454118285111,0.0
3254,-22.57284966894325,0,62.019694760192664,4,4.54,0.4776791629783281,0.0
3255,-22.619599009713003,0,62.00233306162744,4,4.55,0.478612914128145,0.0
3256,-22.666331096808182,0,61.98492223322633,4,4.5600000000000005,0.47954666527796197,0.0
3257,-22.713045878646174,0,61.96746228943552,4,4.57,0.48048041642777894,0.0
3258,-22.759743303655938,0,61.949953244755335,4,4.58,0.48141416757759586,0.0
3259,-22.806423320278,0,61.93239511374021,4,4.59,0.48234791872741284,0.0
3260,-22.853085876964567,0,61.91478791099867,4,4.6000000000000005,0.4832816698772299,0.0
3261,-22.899730922179504,0,61.8971316511933,4,4.61,0.4842154210270468,0.0
3262,-22.946358404398485,0,61.87942634904079,4,4.62,0.4851491721768637,0.0
3263,-22.99296827210899,0,61.86167201931187,4,4.63,0.4860829233266807,0.0
3264,-23.039560473810358,0,61.843868676831335,4,4.64,0.48701667447649766,0.0
3265,-23.0861349580139,0,61.82601633647806,4,4.65,0.48795042562631474,0.0
3266,-23.132691673242867,0,61.8081150131849,4,4.66,0.48888417677613155,0.0
3267,-23.1792305680326,0,61.7901647219388,4,4.67,0.4898179279259485,0.0
3268,-23.225751590930525,0,61.772165477780696,4,4.68,0.4907516790757655,0.0
3269,-23.272254690496233,0,61.75411729580552,4,4.69,0.4916854302255826,0.0
3270,-23.31873981530152,0,61.73602019116225,4,4.7,0.49261918137539956,0.0
3271,-23.365206913930468,0,61.71787417905382,4,4.71,0.4935529325252165,0.0
3272,-23.411655934979496,0,61.69967927473718,4,4.72,0.49448668367503334,0.0
3273,-23.458086827057397,0,61.681435493523225,4,4.73,0.49542043482485043,0.0
3274,-23.504499538785396,0,61.66314285077684,4,4.74,0.4963541859746674,0.0
3275,-23.550894018797248,0,61.64480136191686,4,4.75,0.4972879371244843,0.0
3276,-23.59727021573924,0,61.62641104241606,4,4.76,0.4982216882743013,0.0
3277,-23.64362807827029,0,61.60797190780115,4,4.7700000000000005,0.4991554394241183,0.0
3278,-23.689967555061965,0,61.589483973652776,4,4.78,0.5000891905739352,0.0
3279,-23.73628859479858,0,61.57094725560552,4,4.79,0.5010229417237522,0.0
3280,-23.78259114617722,0,61.55236176934784,4,4.8,0.5019566928735691,0.0
3281,-23.82887515790782,0,61.53372753062209,4,4.8100000000000005,0.5028904440233861,0.0
3282,-23.875140578713197,0,61.51504455522455,4,4.82,0.5038241951732031,0.0
3283,-23.92138735732912,0,61.49631285900535,4,4.83,0.5047579463230201,0.0
3284,-23.967615442504393,0,61.4775324578685,4,4.84,0.5056916974728369,0.0
3285,-24.01382478300086,0,61.45870336777183,4,4.8500000000000005,0.506625448622654,0.0
3286,-24.060015327593494,0,61.439825604727105,4,4.86,0.507559199772471,0.0
3287,-24.106187025070447,0,61.42089918479985,4,4.87,0.5084929509222879,0.0
3288,-24.15233982423311,0,61.40192412410943,4,4.88,0.5094267020721048,0.0
3289,-24.198473673896167,0,61.38290043882905,4,4.89,0.5103604532219218,0.0
3290,-24.24458852288765,0,61.36382814518573,4,4.9,0.5112942043717389,0.0
3291,-24.290684320048996,0,61.34470725946025,4,4.91,0.5122279555215559,0.0
3292,-24.336761014235076,0,61.32553779798721,4,4.92,0.5131617066713728,0.0
3293,-24.38281855431433,0,61.306319777154954,4,4.93,0.5140954578211896,0.0
3294,-24.428856889168745,0,61.28705321340563,4,4.94,0.5150292089710067,0.0
3295,-24.474875967693926,0,61.2677381232351,4,4.95,0.5159629601208237,0.0
3296,-24.520875738799184,0,61.248374523193014,4,4.96,0.5168967112706406,0.0
3297,-24.56685615140758,0,61.228962429882706,4,4.97,0.5178304624204576,0.0
3298,-24.61281715445596,0,61.20950185996128,4,4.98,0.5187642135702746,0.0
3299,-24.658758696895035,0,61.189992830139516,4,4.99,0.5196979647200916,0.0
3300,-24.704680727689414,0,61.1704353571819,4,5.0,0.5206317158699085,0.0
3301,-24.750583195817697,0,61.15082945790663,4,5.01,0.5215654670197254,0.0
3302,-24.796466050272507,0,61.131175149185566,4,5.0200000000000005,0.5224992181695424,0.0
3303,-24.84232924006053,0,61.11147244794422,4,5.03,0.5234329693193593,0.0
3304,-24.888172714202614,0,61.091721371161796,4,5.04,0.5243667204691763,0.0
3305,-24.933996421733784,0,61.07192193587112,4,5.05,0.5253004716189933,0.0
3306,-24.979800311703343,0,61.052074159158636,4,5.0600000000000005,0.5262342227688104,0.0
3307,-25.025584333174866,0,61.03217805816445,4,5.07,0.5271679739186274,0.0
3308,-25.071348435226327,0,61.01223365008225,4,5.08,0.5281017250684441,0.0
3309,-25.117092566950088,0,60.99224095215933,4,5.09,0.5290354762182611,0.0
3310,-25.162816677453016,0,60.97219998169656,4,5.1000000000000005,0.5299692273680782,0.0
3311,-25.2085207158565,0,60.95211075604842,4,5.11,0.5309029785178951,0.0
3312,-25.254204631296517,0,60.9319732926229,4,5.12,0.5318367296677121,0.0
3313,-25.299868372923694,0,60.91178760888161,4,5.13,0.5327704808175291,0.0
3314,-25.345511889903353,0,60.89155372233965,4,5.14,0.533704231967346,0.0
3315,-25.391135131415602,0,60.87127165056567,4,5.15,0.534637983117163,0.0
3316,-25.436738046655325,0,60.85094141118182,4,5.16,0.53557173426698,0.0
3317,-25.482320584832298,0,60.830563021863796,4,5.17,0.5365054854167969,0.0
3318,-25.52788269517122,0,60.81013650034072,4,5.18,0.5374392365666139,0.0
3319,-25.573424326911788,0,60.78966186439524,4,5.19,0.5383729877164308,0.0
3320,-25.61894542930872,0,60.7691391318635,4,5.2,0.5393067388662478,0.0
3321,-25.664445951631837,0,60.748568320635016,4,5.21,0.5402404900160648,0.0
3322,-25.709925843166115,0,60.727949448652836,4,5.22,0.5411742411658818,0.0
3323,-25.75538505321175,0,60.707282533913386,4,5.23,0.5421079923156987,0.0
