time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0.69,0.207,0,0,1.43538,-1.53333,2.73589,-7.32197,-0.200784,-17.2684,-0.953233,-25.7579,-5.09904,-37.2071,-15.496,-50.252,-23.3185,-60.9312,-35.021,-71.0186,-59.0478,-83.7216
0.7,0.21,0,0,1.51564,-1.68458,2.7556,-7.85634,-0.477301,-18.2814,-1.48324,-27.1078,-6.06554,-38.8223,-17.0216,-51.9904,-25.3285,-62.701,-37.5488,-72.6199,-62.2374,-84.8472
0.71,0.213,0,0,1.59015,-1.82962,2.76536,-8.36827,-0.765929,-19.2459,-2.02689,-28.389,-7.04061,-40.3455,-18.5433,-53.6102,-27.3223,-64.3309,-40.0386,-74.0611,-65.3462,-85.7923
0.72,0.216,0,0,1.65368,-1.9537,2.76707,-8.80595,-1.02869,-20.0618,-2.51468,-29.4736,-7.91176,-41.6301,-19.8958,-54.9604,-29.0927,-65.6762,-42.2467,-75.2197,-68.0875,-86.4786
0.73,0.219,0,0,1.70044,-2.04476,2.7673,-9.13027,-1.23272,-20.6636,-2.89013,-30.2761,-8.5862,-42.584,-20.9498,-55.9529,-30.4799,-66.6588,-43.9875,-76.0404,-70.251,-86.8914
0.74,0.222,0,0,1.73,-2.09656,2.77037,-9.32178,-1.35354,-21.0156,-3.1123,-30.7555,-9.00488,-43.1646,-21.6239,-56.5526,-31.3869,-67.2539,-45.1553,-76.5153,-71.7246,-87.0507
0.75,0.225,0,0,1.7413,-2.10836,2.78065,-9.3801,-1.38772,-21.1258,-3.17744,-30.9228,-9.16486,-43.3933,-21.926,-56.7886,-31.8294,-67.4964,-45.7749,-76.6825,-72.5509,-86.9934
0.76,0.228,0,0,1.74126,-2.0941,2.79581,-9.35133,-1.36211,-21.0756,-3.13489,-30.8838,-9.14786,-43.3884,-21.9702,-56.7849,-31.9489,-67.5087,-46.014,-76.6533,-72.9285,-86.8082
0.77,0.231,0,0,1.73616,-2.06806,2.81267,-9.28158,-1.30839,-20.9488,-3.03998,-30.7444,-9.04205,-43.2687,-21.884,-56.6637,-31.9035,-67.4088,-46.0576,-76.5305,-73.0754,-86.566
0.78,0.234,0,0,1.73387,-2.04841,2.82849,-9.2346,-1.27072,-20.8648,-2.97469,-30.6611,-8.98667,-43.2132,-21.872,-56.6081,-31.9527,-67.3708,-46.2133,-76.4572,-73.3519,-86.35
